uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
22-5-2023;24,83182656;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-5-2023;24,88855616;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-5-2023;24,94541535;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-5-2023;25,00240444;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-5-2023;25,05952373;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-5-2023;25,11677351;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-5-2023;25,17415408;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-5-2023;25,23166573;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-5-2023;25,28930878;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-5-2023;25,34708351;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-6-2023;25,40499024;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-6-2023;25,46302925;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-6-2023;25,52120086;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-6-2023;25,57950536;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-6-2023;25,63794306;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-6-2023;25,69651427;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-6-2023;25,75521929;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-6-2023;25,81405842;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-6-2023;25,87303197;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-6-2023;25,93214025;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-6-2023;25,99138357;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-6-2023;26,05076223;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-6-2023;26,11027654;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-6-2023;26,16992682;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-6-2023;26,22971337;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-6-2023;26,28963651;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-6-2023;26,34969654;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-6-2023;26,40989379;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-6-2023;26,47022856;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-6-2023;26,53070116;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-6-2023;26,59131192;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-6-2023;26,65206115;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-6-2023;26,71294916;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-6-2023;26,77397628;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-6-2023;26,83514281;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-6-2023;26,89644908;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-6-2023;26,95789541;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-6-2023;27,01948212;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-6-2023;27,08120952;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-6-2023;27,14307795;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-7-2023;27,20508771;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-7-2023;27,26723914;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-7-2023;27,32953256;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-7-2023;27,39196829;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-7-2023;27,45454666;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-7-2023;27,51726799;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-7-2023;27,58013261;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-7-2023;27,64314085;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-7-2023;27,70629304;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-7-2023;27,7695895;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-7-2023;27,83303056;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-7-2023;27,89661656;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-7-2023;27,96034783;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-7-2023;28,02422469;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-7-2023;28,08824748;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-7-2023;28,15241653;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-7-2023;28,21673218;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-7-2023;28,28119477;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-7-2023;28,34580462;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-7-2023;28,41056208;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-7-2023;28,47546748;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-7-2023;28,54052116;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-7-2023;28,60572345;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-7-2023;28,67107471;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-7-2023;28,73657526;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-7-2023;28,80222545;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-7-2023;28,86802563;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-7-2023;28,93397613;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-7-2023;29,00007729;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-7-2023;29,06632947;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-7-2023;29,132733;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-8-2023;29,19928824;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-8-2023;29,26599552;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-8-2023;29,3328552;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-8-2023;29,39986763;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-8-2023;29,46703315;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-8-2023;29,53435211;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-8-2023;29,60182486;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-8-2023;29,66945176;;;;;;;;;;;;;;;;;;;;;;;;;;;
